Timepoint (1min, 128Hz)	1 - F7	2 - F3	3 - F4	4 - F8	5 - T3	6 - C3	7 - Cz	8 - C4	9 - T4	10 - T5	11 - P3	12 - Pz	13 - P4	14 - T6	15 - O1	16 - O2
2151	-222.66	-171.28	-239.79	-154.15	-171.28	-17.13	17.13	34.26	-34.26	-530.95	-565.21	-445.32	-291.17	-325.42	-222.66	-496.7
2152	-291.17	-342.55	-308.3	-222.66	-239.79	-256.91	-119.89	-34.26	-154.15	-565.21	-565.21	-513.83	-342.55	-462.44	-222.66	-582.34
2153	-171.28	-393.93	-205.53	-171.28	-34.26	-325.42	-34.26	0	-205.53	-291.17	-171.28	-154.15	-102.77	-308.3	154.15	-308.3
2154	-154.15	-325.42	-137.02	-102.77	17.13	-205.53	85.64	34.26	-137.02	-85.64	17.13	68.51	85.64	-102.77	496.7	0
2155	-256.91	-342.55	-68.51	-17.13	-34.26	-34.26	376.81	154.15	0	137.02	393.93	548.08	393.93	188.4	856.38	462.44
2156	-342.55	-393.93	-102.77	0	-137.02	-17.13	393.93	137.02	17.13	188.4	479.57	719.36	479.57	308.3	959.14	667.97
2157	-256.91	-325.42	-68.51	0	-102.77	-68.51	274.04	51.38	17.13	239.79	599.46	839.25	633.72	496.7	976.27	873.5
2158	-119.89	-222.66	-34.26	0	-17.13	-51.38	239.79	0	-34.26	239.79	582.34	856.38	633.72	496.7	959.14	942.01
2159	17.13	-137.02	-34.26	68.51	51.38	17.13	256.91	-68.51	0	154.15	393.93	787.87	548.08	393.93	753.61	856.38
2160	0	-154.15	17.13	85.64	34.26	-34.26	274.04	-51.38	0	137.02	325.42	719.36	462.44	342.55	513.83	736.48
2161	0	-119.89	256.91	239.79	119.89	171.28	462.44	274.04	256.91	188.4	308.3	702.23	616.59	565.21	119.89	633.72
2162	0	-34.26	274.04	274.04	154.15	256.91	496.7	393.93	274.04	188.4	308.3	685.1	719.36	650.85	85.64	633.72
2163	68.51	68.51	205.53	239.79	205.53	274.04	428.19	393.93	154.15	137.02	256.91	633.72	719.36	616.59	119.89	513.83
2164	34.26	51.38	154.15	188.4	205.53	205.53	291.17	274.04	85.64	137.02	239.79	565.21	650.85	530.95	154.15	411.06
2165	-17.13	-85.64	119.89	137.02	154.15	34.26	34.26	51.38	85.64	205.53	308.3	548.08	548.08	479.57	359.68	359.68
2166	-17.13	-137.02	119.89	137.02	119.89	-34.26	0	34.26	137.02	274.04	393.93	565.21	565.21	530.95	496.7	393.93
2167	68.51	-17.13	85.64	154.15	85.64	0	-34.26	85.64	188.4	376.81	496.7	565.21	616.59	650.85	633.72	548.08
2168	154.15	51.38	68.51	171.28	154.15	68.51	51.38	137.02	154.15	376.81	496.7	530.95	599.46	633.72	599.46	599.46
2169	222.66	188.4	85.64	137.02	359.68	171.28	205.53	137.02	-34.26	291.17	428.19	428.19	411.06	411.06	291.17	479.57
2170	188.4	154.15	137.02	85.64	359.68	188.4	239.79	68.51	-34.26	274.04	411.06	393.93	291.17	256.91	119.89	359.68
2171	85.64	17.13	256.91	85.64	205.53	205.53	205.53	17.13	-34.26	274.04	376.81	393.93	154.15	51.38	-85.64	188.4
2172	68.51	0	325.42	171.28	137.02	239.79	222.66	34.26	34.26	274.04	359.68	428.19	154.15	51.38	-51.38	171.28
2173	137.02	119.89	325.42	274.04	137.02	239.79	205.53	119.89	51.38	205.53	256.91	479.57	239.79	119.89	0	239.79
2174	154.15	205.53	274.04	256.91	171.28	188.4	188.4	119.89	17.13	119.89	137.02	462.44	239.79	85.64	0	239.79
2175	137.02	154.15	85.64	119.89	154.15	0	68.51	34.26	0	-102.77	-137.02	188.4	137.02	17.13	-274.04	171.28
2176	119.89	119.89	68.51	85.64	119.89	-85.64	34.26	17.13	17.13	-171.28	-256.91	17.13	85.64	34.26	-411.06	137.02
2177	-17.13	68.51	171.28	205.53	-17.13	-137.02	17.13	119.89	205.53	-342.55	-582.34	-513.83	0	188.4	-462.44	0
2178	-85.64	17.13	188.4	222.66	-171.28	-188.4	17.13	137.02	205.53	-513.83	-736.48	-650.85	-68.51	154.15	-462.44	-85.64
2179	-376.81	-51.38	85.64	68.51	-616.59	-445.32	-17.13	68.51	85.64	-924.89	-1096.16	-822.12	-256.91	-17.13	-376.81	-274.04
2180	-411.06	-102.77	17.13	0	-736.48	-582.34	-102.77	17.13	17.13	-959.14	-1113.29	-787.87	-274.04	-85.64	-222.66	-239.79
2181	-325.42	-171.28	-102.77	-137.02	-530.95	-770.74	-239.79	-119.89	-51.38	-565.21	-702.23	-376.81	-85.64	-85.64	188.4	-51.38
2182	-205.53	-239.79	-154.15	-154.15	-325.42	-770.74	-256.91	-154.15	-102.77	-222.66	-325.42	-51.38	17.13	0	376.81	51.38
2183	0	-256.91	-154.15	-51.38	34.26	-513.83	-256.91	-205.53	-85.64	222.66	256.91	479.57	239.79	34.26	376.81	256.91
2184	34.26	-205.53	-85.64	0	171.28	-256.91	-171.28	-205.53	-34.26	342.55	479.57	667.97	291.17	68.51	308.3	325.42
2185	137.02	34.26	51.38	68.51	325.42	308.3	119.89	0	-17.13	496.7	685.1	839.25	291.17	34.26	154.15	274.04
2186	205.53	171.28	102.77	68.51	393.93	548.08	308.3	68.51	17.13	513.83	753.61	907.76	325.42	0	137.02	205.53
2187	274.04	274.04	137.02	34.26	411.06	770.74	428.19	239.79	-34.26	496.7	736.48	1079.03	428.19	-34.26	205.53	102.77
2188	256.91	291.17	85.64	17.13	308.3	736.48	428.19	256.91	17.13	428.19	667.97	1113.29	479.57	17.13	239.79	102.77
2189	256.91	308.3	171.28	102.77	256.91	667.97	496.7	239.79	119.89	291.17	479.57	993.4	411.06	119.89	68.51	0
2190	274.04	342.55	256.91	188.4	291.17	667.97	582.34	308.3	188.4	205.53	325.42	787.87	308.3	85.64	-137.02	-256.91
2191	359.68	462.44	462.44	359.68	479.57	702.23	787.87	582.34	393.93	34.26	0	274.04	85.64	34.26	-822.12	-839.25
2192	359.68	479.57	496.7	393.93	445.32	685.1	804.99	685.1	445.32	-51.38	-119.89	85.64	119.89	85.64	-993.4	-839.25
2193	119.89	239.79	188.4	154.15	17.13	359.68	376.81	411.06	239.79	-222.66	-239.79	205.53	616.59	599.46	-325.42	616.59
2194	-17.13	85.64	17.13	0	-51.38	188.4	154.15	188.4	119.89	-137.02	-119.89	376.81	770.74	753.61	51.38	1164.67
2195	-137.02	-137.02	-239.79	-171.28	-102.77	-34.26	-85.64	-85.64	-17.13	137.02	154.15	633.72	959.14	890.63	753.61	1747.01
2196	-171.28	-171.28	-274.04	-222.66	-85.64	-85.64	-102.77	-102.77	-85.64	291.17	308.3	719.36	976.27	907.76	907.76	1747.01
2197	-137.02	-17.13	-239.79	-205.53	-17.13	-51.38	-85.64	-17.13	-137.02	411.06	445.32	719.36	804.99	753.61	907.76	1387.33
2198	-85.64	51.38	-171.28	-171.28	0	-34.26	-102.77	-17.13	-205.53	376.81	445.32	616.59	616.59	548.08	753.61	1079.03
2199	0	171.28	-17.13	-137.02	17.13	-34.26	-222.66	-137.02	-274.04	291.17	359.68	256.91	34.26	17.13	393.93	308.3
2200	85.64	171.28	17.13	-119.89	85.64	0	-274.04	-205.53	-291.17	274.04	291.17	34.26	-205.53	-222.66	256.91	-34.26
2201	188.4	188.4	119.89	-34.26	291.17	17.13	-274.04	-239.79	-291.17	171.28	137.02	-291.17	-616.59	-565.21	85.64	-462.44
2202	188.4	205.53	102.77	-17.13	325.42	0	-256.91	-222.66	-291.17	85.64	34.26	-445.32	-770.74	-633.72	68.51	-582.34
2203	154.15	222.66	0	-137.02	256.91	-17.13	-256.91	-274.04	-325.42	-17.13	-102.77	-633.72	-976.27	-736.48	17.13	-650.85
2204	119.89	188.4	-137.02	-205.53	154.15	-102.77	-325.42	-393.93	-342.55	-51.38	-137.02	-736.48	-1061.91	-753.61	17.13	-650.85
2205	102.77	17.13	-154.15	-205.53	-34.26	-325.42	-428.19	-616.59	-274.04	-85.64	-205.53	-839.25	-1010.52	-770.74	34.26	-582.34
2206	85.64	0	-34.26	-85.64	-34.26	-393.93	-428.19	-582.34	-188.4	-102.77	-222.66	-770.74	-890.63	-736.48	51.38	-548.08
2207	-17.13	34.26	171.28	154.15	-85.64	-325.42	-222.66	-171.28	34.26	-51.38	-102.77	-325.42	-393.93	-462.44	154.15	-496.7
2208	-17.13	137.02	274.04	239.79	-85.64	-188.4	-51.38	119.89	188.4	17.13	17.13	-34.26	-68.51	-205.53	256.91	-411.06
2209	17.13	154.15	291.17	274.04	-34.26	0	154.15	667.97	411.06	102.77	137.02	719.36	633.72	462.44	633.72	154.15
2210	34.26	85.64	274.04	256.91	-51.38	-51.38	102.77	599.46	376.81	102.77	188.4	787.87	736.48	565.21	667.97	342.55
2211	0	0	205.53	274.04	-51.38	-17.13	68.51	445.32	205.53	154.15	274.04	822.12	736.48	565.21	565.21	445.32
2212	-34.26	-17.13	239.79	256.91	0	51.38	102.77	376.81	119.89	188.4	308.3	753.61	667.97	548.08	428.19	376.81
2213	-154.15	-34.26	102.77	137.02	17.13	239.79	85.64	188.4	137.02	119.89	291.17	445.32	445.32	393.93	0	222.66
2214	-222.66	-68.51	0	85.64	-17.13	222.66	0	68.51	137.02	68.51	222.66	205.53	291.17	325.42	-137.02	188.4
2215	-239.79	-154.15	-137.02	-68.51	-222.66	17.13	-274.04	-154.15	34.26	85.64	188.4	-171.28	68.51	205.53	-222.66	239.79
2216	-154.15	-154.15	-188.4	-137.02	-222.66	17.13	-274.04	-188.4	0	188.4	256.91	-274.04	0	205.53	-51.38	274.04
2217	17.13	-51.38	-51.38	-68.51	34.26	137.02	-68.51	-51.38	-85.64	479.57	445.32	-308.3	68.51	256.91	325.42	359.68
2218	85.64	-17.13	17.13	17.13	171.28	274.04	68.51	17.13	0	530.95	513.83	-274.04	119.89	308.3	479.57	393.93
2219	0	119.89	325.42	342.55	137.02	342.55	256.91	256.91	188.4	359.68	428.19	0	445.32	479.57	513.83	565.21
2220	-34.26	137.02	428.19	393.93	17.13	325.42	274.04	376.81	274.04	222.66	342.55	154.15	633.72	565.21	445.32	719.36
2221	-119.89	205.53	376.81	342.55	-85.64	171.28	308.3	548.08	376.81	-34.26	137.02	599.46	976.27	753.61	256.91	959.14
2222	-85.64	239.79	342.55	291.17	-85.64	119.89	342.55	599.46	428.19	-51.38	34.26	719.36	1079.03	804.99	137.02	976.27
2223	-17.13	274.04	342.55	325.42	-51.38	85.64	428.19	685.1	513.83	-51.38	-17.13	719.36	1044.78	804.99	17.13	856.38
2224	0	274.04	393.93	393.93	-34.26	119.89	428.19	667.97	513.83	-34.26	-34.26	616.59	976.27	787.87	0	736.48
2225	119.89	325.42	342.55	325.42	119.89	171.28	154.15	359.68	291.17	-85.64	-154.15	154.15	411.06	428.19	-308.3	445.32
2226	137.02	308.3	274.04	239.79	154.15	154.15	119.89	256.91	188.4	-137.02	-239.79	0	205.53	256.91	-428.19	359.68
2227	137.02	256.91	137.02	85.64	85.64	68.51	119.89	85.64	0	-205.53	-274.04	-205.53	0	0	-496.7	205.53
2228	119.89	256.91	85.64	51.38	51.38	34.26	51.38	0	-102.77	-171.28	-239.79	-291.17	-102.77	-85.64	-376.81	188.4
2229	85.64	239.79	0	0	51.38	0	-154.15	-291.17	-239.79	-34.26	-119.89	-513.83	-342.55	-137.02	-119.89	171.28
2230	68.51	171.28	0	-51.38	85.64	-17.13	-325.42	-479.57	-274.04	0	-51.38	-633.72	-479.57	-205.53	-17.13	85.64
2231	102.77	0	-102.77	-119.89	171.28	-85.64	-496.7	-702.23	-239.79	0	-34.26	-753.61	-565.21	-342.55	0	-171.28
2232	119.89	-85.64	-137.02	-119.89	171.28	-85.64	-496.7	-650.85	-205.53	34.26	17.13	-685.1	-411.06	-325.42	-17.13	-274.04
2233	137.02	-51.38	-102.77	-17.13	154.15	-85.64	-359.68	-376.81	-51.38	119.89	68.51	-291.17	0	-34.26	-17.13	-171.28
2234	119.89	-34.26	-17.13	34.26	119.89	-102.77	-274.04	-205.53	17.13	137.02	85.64	-51.38	239.79	137.02	0	-34.26
2235	34.26	102.77	171.28	256.91	51.38	-137.02	-85.64	68.51	239.79	137.02	137.02	205.53	428.19	359.68	-51.38	68.51
2236	68.51	85.64	205.53	274.04	34.26	-137.02	0	171.28	291.17	85.64	137.02	274.04	411.06	308.3	-137.02	34.26
2237	222.66	188.4	154.15	188.4	119.89	-51.38	34.26	291.17	188.4	-34.26	68.51	308.3	256.91	85.64	-325.42	-102.77
2238	325.42	256.91	119.89	137.02	171.28	-34.26	51.38	308.3	137.02	-34.26	17.13	325.42	205.53	34.26	-393.93	-137.02
2239	376.81	445.32	222.66	188.4	239.79	0	239.79	411.06	154.15	-119.89	-17.13	342.55	205.53	34.26	-462.44	-171.28
2240	359.68	445.32	308.3	291.17	239.79	34.26	325.42	479.57	205.53	-51.38	0	291.17	154.15	17.13	-479.57	-154.15
2241	274.04	393.93	274.04	171.28	188.4	308.3	359.68	325.42	-17.13	137.02	171.28	34.26	-34.26	-154.15	-222.66	-205.53
2242	239.79	359.68	137.02	17.13	188.4	325.42	274.04	188.4	-171.28	171.28	205.53	0	-102.77	-222.66	-51.38	-171.28
2243	137.02	205.53	-51.38	-154.15	188.4	188.4	119.89	-137.02	-445.32	154.15	188.4	-102.77	-137.02	-154.15	137.02	-85.64
2244	68.51	34.26	-188.4	-222.66	188.4	51.38	17.13	-274.04	-445.32	85.64	119.89	-154.15	-119.89	-119.89	154.15	-85.64
2245	0	-342.55	-393.93	-342.55	102.77	-188.4	-239.79	-411.06	-411.06	-17.13	0	-239.79	-137.02	-171.28	34.26	-256.91
2246	-34.26	-513.83	-445.32	-393.93	34.26	-325.42	-342.55	-445.32	-393.93	-102.77	-85.64	-325.42	-188.4	-205.53	0	-342.55
2247	-34.26	-530.95	-325.42	-274.04	0	-359.68	-359.68	-359.68	-274.04	-222.66	-205.53	-411.06	-205.53	-171.28	-51.38	-445.32
2248	-34.26	-445.32	-188.4	-154.15	17.13	-342.55	-256.91	-274.04	-188.4	-274.04	-239.79	-376.81	-239.79	-137.02	-85.64	-428.19
2249	68.51	-222.66	34.26	17.13	171.28	-154.15	0	-102.77	-34.26	-222.66	-137.02	-222.66	-256.91	-102.77	-34.26	-325.42
2250	137.02	-102.77	68.51	34.26	239.79	-85.64	85.64	-17.13	17.13	-137.02	-85.64	-102.77	-274.04	-171.28	-85.64	-342.55
2251	154.15	0	68.51	0	274.04	-34.26	154.15	17.13	-68.51	-154.15	-102.77	-51.38	-411.06	-393.93	-291.17	-650.85
2252	119.89	17.13	51.38	0	188.4	0	137.02	-34.26	-85.64	-239.79	-205.53	-137.02	-530.95	-530.95	-496.7	-856.38
2253	68.51	-17.13	85.64	34.26	85.64	-102.77	68.51	-51.38	-137.02	-445.32	-462.44	-393.93	-719.36	-719.36	-770.74	-993.4
2254	85.64	17.13	34.26	17.13	85.64	-154.15	34.26	-119.89	-171.28	-462.44	-496.7	-479.57	-753.61	-702.23	-753.61	-890.63
2255	205.53	119.89	-34.26	-51.38	291.17	-171.28	-17.13	-222.66	-274.04	-239.79	-342.55	-530.95	-753.61	-513.83	-479.57	-616.59
2256	239.79	85.64	-85.64	-102.77	325.42	-154.15	-85.64	-274.04	-291.17	-85.64	-171.28	-513.83	-719.36	-411.06	-239.79	-479.57
2257	68.51	-51.38	-51.38	-119.89	68.51	-34.26	-85.64	-137.02	-154.15	256.91	291.17	-256.91	-274.04	-171.28	308.3	-119.89
2258	0	-102.77	-34.26	-119.89	-34.26	51.38	-17.13	-17.13	-51.38	291.17	359.68	-137.02	-34.26	-34.26	411.06	0
2259	-171.28	-85.64	-119.89	-119.89	-34.26	188.4	17.13	85.64	0	154.15	256.91	0	291.17	239.79	411.06	274.04
2260	-222.66	-119.89	-154.15	-137.02	-34.26	239.79	34.26	119.89	0	17.13	137.02	51.38	376.81	308.3	359.68	376.81
2261	-222.66	-171.28	-222.66	-205.53	-85.64	171.28	0	17.13	-137.02	-137.02	-34.26	68.51	308.3	205.53	274.04	359.68
2262	-171.28	-205.53	-205.53	-222.66	-102.77	85.64	0	0	-171.28	-154.15	-34.26	68.51	188.4	68.51	256.91	274.04
2263	-51.38	-222.66	-171.28	-222.66	-85.64	-17.13	-34.26	-119.89	-205.53	-171.28	-119.89	17.13	-17.13	-154.15	68.51	-34.26
2264	0	-171.28	-154.15	-171.28	-34.26	-34.26	-17.13	-154.15	-154.15	-171.28	-171.28	-34.26	-171.28	-256.91	-34.26	-154.15
2265	34.26	-34.26	-34.26	-17.13	-34.26	17.13	34.26	-85.64	-51.38	-205.53	-239.79	-17.13	-376.81	-359.68	-359.68	-462.44
2266	68.51	119.89	34.26	34.26	17.13	119.89	154.15	0	-34.26	-171.28	-222.66	-17.13	-411.06	-359.68	-462.44	-565.21
2267	34.26	274.04	291.17	171.28	51.38	239.79	393.93	256.91	68.51	-171.28	-239.79	-85.64	-411.06	-342.55	-650.85	-804.99
2268	17.13	274.04	393.93	222.66	34.26	188.4	411.06	308.3	85.64	-222.66	-256.91	-171.28	-411.06	-325.42	-753.61	-924.89
2269	-17.13	188.4	325.42	205.53	0	0	256.91	171.28	85.64	-205.53	-274.04	-411.06	-411.06	-256.91	-822.12	-976.27
2270	0	154.15	291.17	188.4	-34.26	0	154.15	85.64	154.15	-119.89	-222.66	-462.44	-376.81	-205.53	-685.1	-839.25
2271	-17.13	119.89	205.53	188.4	-17.13	17.13	34.26	85.64	274.04	119.89	51.38	-205.53	-85.64	0	-119.89	-256.91
2272	-17.13	102.77	205.53	205.53	-34.26	34.26	17.13	119.89	325.42	205.53	205.53	-34.26	68.51	137.02	188.4	17.13
2273	-51.38	-102.77	119.89	85.64	17.13	-137.02	0	137.02	102.77	222.66	256.91	274.04	548.08	496.7	736.48	582.34
2274	-102.77	-205.53	68.51	0	-17.13	-222.66	-68.51	68.51	17.13	171.28	188.4	256.91	599.46	530.95	787.87	685.1
2275	-137.02	-222.66	0	0	-137.02	-137.02	-85.64	17.13	68.51	68.51	17.13	119.89	496.7	462.44	702.23	753.61
2276	-154.15	-205.53	51.38	68.51	-171.28	-34.26	-51.38	0	137.02	0	0	68.51	411.06	359.68	599.46	702.23
2277	-119.89	-85.64	119.89	239.79	-102.77	-17.13	34.26	17.13	171.28	-205.53	-222.66	17.13	239.79	222.66	188.4	376.81
2278	-85.64	-51.38	85.64	205.53	-51.38	-34.26	34.26	17.13	119.89	-291.17	-325.42	17.13	188.4	137.02	-17.13	205.53
2279	0	-17.13	0	17.13	-34.26	-171.28	0	0	-17.13	-393.93	-393.93	68.51	0	0	-428.19	-51.38
2280	102.77	17.13	-34.26	-17.13	34.26	-171.28	0	0	-17.13	-376.81	-411.06	102.77	-51.38	-102.77	-530.95	-137.02
2281	137.02	34.26	102.77	51.38	85.64	-34.26	137.02	0	17.13	-291.17	-342.55	0	-256.91	-256.91	-513.83	-291.17
2282	119.89	119.89	154.15	119.89	68.51	-34.26	205.53	0	17.13	-274.04	-274.04	-137.02	-342.55	-308.3	-479.57	-411.06
2283	17.13	119.89	17.13	-17.13	-102.77	-51.38	68.51	-137.02	-34.26	-171.28	-205.53	-445.32	-616.59	-411.06	-308.3	-599.46
2284	-17.13	68.51	-34.26	-68.51	-171.28	-171.28	-51.38	-239.79	-51.38	-119.89	-137.02	-496.7	-719.36	-462.44	-137.02	-633.72
2285	0	-34.26	-102.77	-137.02	-137.02	-239.79	-188.4	-274.04	-51.38	85.64	119.89	-291.17	-582.34	-393.93	308.3	-445.32
2286	0	-85.64	-51.38	-51.38	-17.13	-137.02	-102.77	-205.53	0	205.53	274.04	-51.38	-342.55	-256.91	548.08	-222.66
2287	-17.13	-17.13	85.64	85.64	85.64	239.79	256.91	171.28	205.53	376.81	479.57	393.93	308.3	171.28	787.87	428.19
2288	-17.13	68.51	119.89	137.02	119.89	411.06	445.32	393.93	308.3	376.81	479.57	548.08	599.46	393.93	736.48	753.61
2289	-85.64	119.89	85.64	85.64	-34.26	479.57	548.08	548.08	256.91	85.64	85.64	393.93	685.1	479.57	291.17	873.5
2290	-137.02	34.26	34.26	17.13	-137.02	325.42	445.32	376.81	154.15	-34.26	0	188.4	513.83	308.3	85.64	667.97
2291	-171.28	-34.26	0	-17.13	-325.42	51.38	171.28	0	68.51	-119.89	-171.28	-51.38	171.28	34.26	-137.02	274.04
2292	-154.15	34.26	51.38	0	-325.42	0	137.02	-34.26	119.89	-137.02	-222.66	-102.77	85.64	17.13	-222.66	137.02
2293	0	274.04	274.04	188.4	-119.89	154.15	359.68	85.64	239.79	-137.02	-256.91	0	119.89	85.64	-411.06	-34.26
2294	34.26	359.68	376.81	291.17	0	291.17	530.95	256.91	256.91	-137.02	-256.91	17.13	154.15	119.89	-530.95	-34.26
2295	137.02	445.32	359.68	291.17	171.28	496.7	667.97	376.81	154.15	-85.64	-171.28	85.64	137.02	0	-582.34	-51.38
2296	222.66	479.57	256.91	171.28	205.53	496.7	548.08	274.04	68.51	0	-85.64	154.15	85.64	-17.13	-411.06	0
2297	393.93	445.32	-17.13	-85.64	239.79	325.42	102.77	-17.13	-17.13	137.02	119.89	205.53	17.13	-17.13	34.26	85.64
2298	462.44	376.81	-137.02	-222.66	239.79	205.53	-85.64	-154.15	-85.64	239.79	274.04	205.53	0	-17.13	205.53	119.89
2299	342.55	256.91	-274.04	-376.81	119.89	51.38	-393.93	-205.53	-171.28	496.7	599.46	222.66	34.26	17.13	428.19	171.28
2300	222.66	205.53	-291.17	-325.42	51.38	34.26	-393.93	-137.02	-171.28	616.59	736.48	239.79	119.89	68.51	496.7	291.17
2301	85.64	137.02	-222.66	-256.91	34.26	154.15	-256.91	0	-51.38	685.1	804.99	222.66	274.04	239.79	599.46	599.46
2302	102.77	85.64	-205.53	-239.79	85.64	188.4	-205.53	34.26	-34.26	565.21	633.72	154.15	325.42	291.17	565.21	650.85
2303	137.02	17.13	-222.66	-239.79	171.28	17.13	-256.91	85.64	119.89	188.4	222.66	-34.26	376.81	359.68	222.66	650.85
2304	119.89	0	-256.91	-222.66	154.15	-34.26	-222.66	119.89	188.4	34.26	68.51	-34.26	428.19	428.19	85.64	633.72
2305	0	-51.38	-85.64	-34.26	-34.26	0	102.77	376.81	308.3	-68.51	-34.26	0	428.19	376.81	-51.38	462.44
2306	0	0	-51.38	-34.26	-34.26	51.38	205.53	376.81	256.91	-68.51	-102.77	17.13	291.17	256.91	-154.15	308.3
2307	68.51	119.89	-102.77	-102.77	-51.38	68.51	119.89	205.53	68.51	-34.26	-154.15	-291.17	-34.26	0	-393.93	17.13
2308	85.64	137.02	-171.28	-119.89	-34.26	0	0	85.64	17.13	17.13	-171.28	-445.32	-222.66	-85.64	-445.32	-102.77
2309	-17.13	-34.26	-222.66	-205.53	17.13	-102.77	-171.28	-34.26	-51.38	-51.38	-291.17	-685.1	-393.93	-205.53	-376.81	-308.3
2310	-17.13	-68.51	-188.4	-222.66	34.26	-188.4	-222.66	-85.64	-34.26	-222.66	-411.06	-770.74	-496.7	-274.04	-376.81	-428.19
2311	-17.13	-102.77	-137.02	-154.15	-51.38	-256.91	-222.66	-137.02	34.26	-428.19	-650.85	-907.76	-702.23	-445.32	-633.72	-685.1
2312	0	-85.64	-102.77	-85.64	-137.02	-274.04	-256.91	-154.15	85.64	-445.32	-685.1	-942.01	-753.61	-496.7	-753.61	-770.74
2313	0	-34.26	-205.53	-137.02	-171.28	-428.19	-359.68	-256.91	51.38	-411.06	-633.72	-1010.52	-770.74	-530.95	-753.61	-822.12
2314	-51.38	-102.77	-291.17	-222.66	-205.53	-565.21	-445.32	-325.42	-17.13	-411.06	-633.72	-959.14	-787.87	-548.08	-650.85	-822.12
2315	-256.91	-291.17	-496.7	-445.32	-291.17	-753.61	-530.95	-428.19	-205.53	-462.44	-530.95	-650.85	-650.85	-582.34	-428.19	-804.99
2316	-291.17	-342.55	-513.83	-479.57	-359.68	-685.1	-479.57	-428.19	-256.91	-393.93	-376.81	-325.42	-513.83	-462.44	-308.3	-685.1
2317	-205.53	-239.79	-342.55	-325.42	-239.79	-291.17	-205.53	-222.66	-119.89	-17.13	85.64	291.17	0	-119.89	-17.13	-274.04
2318	-102.77	-102.77	-188.4	-137.02	-102.77	-17.13	17.13	-34.26	-34.26	137.02	325.42	548.08	188.4	0	0	-154.15
2319	-17.13	34.26	34.26	68.51	51.38	274.04	274.04	291.17	85.64	291.17	411.06	565.21	411.06	171.28	0	-154.15
2320	-51.38	102.77	85.64	102.77	51.38	291.17	325.42	376.81	51.38	256.91	325.42	445.32	411.06	171.28	-34.26	-222.66
2321	-85.64	51.38	34.26	-34.26	0	188.4	154.15	308.3	-34.26	154.15	188.4	274.04	308.3	154.15	154.15	-102.77
2322	-51.38	17.13	34.26	-34.26	0	188.4	119.89	256.91	-34.26	188.4	205.53	291.17	308.3	154.15	256.91	0
2323	0	17.13	0	0	0	274.04	137.02	137.02	-17.13	171.28	154.15	274.04	188.4	51.38	274.04	0
2324	-17.13	51.38	-34.26	-17.13	-17.13	274.04	154.15	68.51	-51.38	119.89	68.51	205.53	51.38	-17.13	239.79	-119.89
2325	34.26	188.4	-85.64	-85.64	-17.13	256.91	154.15	0	-171.28	85.64	68.51	154.15	-119.89	-205.53	171.28	-325.42
2326	85.64	274.04	-34.26	-34.26	0	256.91	154.15	0	-205.53	171.28	171.28	239.79	-137.02	-222.66	171.28	-342.55
2327	102.77	359.68	85.64	51.38	0	325.42	154.15	-34.26	-85.64	411.06	445.32	479.57	0	-51.38	205.53	-205.53
2328	102.77	393.93	154.15	154.15	34.26	393.93	171.28	34.26	-34.26	479.57	530.95	599.46	119.89	0	188.4	-171.28
2329	137.02	496.7	308.3	256.91	137.02	479.57	205.53	205.53	154.15	479.57	582.34	667.97	188.4	34.26	188.4	-256.91
2330	205.53	548.08	393.93	291.17	205.53	496.7	256.91	274.04	154.15	445.32	599.46	667.97	171.28	0	239.79	-274.04
2331	308.3	685.1	530.95	359.68	325.42	513.83	256.91	325.42	68.51	548.08	719.36	702.23	256.91	17.13	428.19	-34.26
2332	325.42	667.97	530.95	376.81	291.17	496.7	239.79	325.42	34.26	599.46	787.87	667.97	376.81	119.89	530.95	137.02
2333	274.04	599.46	513.83	411.06	205.53	411.06	68.51	239.79	34.26	565.21	753.61	548.08	513.83	342.55	548.08	479.57
2334	256.91	548.08	479.57	393.93	171.28	308.3	0	171.28	85.64	496.7	667.97	393.93	479.57	376.81	479.57	530.95
2335	256.91	359.68	274.04	308.3	239.79	85.64	-119.89	34.26	137.02	325.42	411.06	256.91	376.81	359.68	428.19	513.83
2336	239.79	274.04	188.4	205.53	274.04	0	-154.15	17.13	85.64	256.91	308.3	154.15	325.42	359.68	462.44	530.95
2337	-17.13	-17.13	-68.51	-68.51	68.51	-291.17	-445.32	-342.55	-85.64	-51.38	-102.77	-137.02	102.77	274.04	548.08	462.44
2338	-102.77	-137.02	-137.02	-137.02	17.13	-462.44	-582.34	-513.83	-205.53	-291.17	-342.55	-325.42	0	137.02	428.19	325.42
2339	-171.28	-411.06	-222.66	-205.53	-205.53	-736.48	-650.85	-685.1	-325.42	-616.59	-685.1	-513.83	-274.04	-85.64	102.77	102.77
2340	-137.02	-445.32	-222.66	-205.53	-239.79	-770.74	-565.21	-685.1	-291.17	-633.72	-702.23	-513.83	-376.81	-154.15	0	34.26
2341	0	-239.79	-137.02	-102.77	-188.4	-582.34	-256.91	-496.7	-154.15	-582.34	-616.59	-376.81	-496.7	-274.04	-51.38	-188.4
2342	-17.13	-188.4	-137.02	-51.38	-102.77	-496.7	-222.66	-411.06	-102.77	-565.21	-582.34	-376.81	-548.08	-342.55	-154.15	-359.68
